Data,Experiment,Supergame,Subject Pair
"{'Round': 1, 'Prisoner 1 ID': 11, 'Prisoner 2 ID': 8, 'Prisoner 1 Decision': 'Betray.', 'Prisoner 2 Decision': 'Cooperate.', 'Prisoner 1 Score': 50.0, 'Prisoner 2 Score': 12.0, 'Prisoner 1 LLM Response': 'Betray', 'Prisoner 2 LLM Response': 'Cooperate', 'Probability of Game Continuing': 0.5}",0,1,1
"{'Round': 2, 'Prisoner 1 ID': 11, 'Prisoner 2 ID': 8, 'Prisoner 1 Decision': 'Betray.', 'Prisoner 2 Decision': 'Cooperate.', 'Prisoner 1 Score': 100.0, 'Prisoner 2 Score': 24.0, 'Prisoner 1 LLM Response': 'Betray', 'Prisoner 2 LLM Response': 'Cooperate', 'Probability of Game Continuing': 0.5}",0,1,1
"{'Round': 3, 'Prisoner 1 ID': 11, 'Prisoner 2 ID': 8, 'Prisoner 1 Decision': 'Cooperate.', 'Prisoner 2 Decision': 'Cooperate.', 'Prisoner 1 Score': 132.0, 'Prisoner 2 Score': 56.0, 'Prisoner 1 LLM Response': 'Cooperate', 'Prisoner 2 LLM Response': 'Cooperate', 'Probability of Game Continuing': 0.5}",0,1,1
"{'Round': 1, 'Prisoner 1 ID': 0, 'Prisoner 2 ID': 3, 'Prisoner 1 Decision': 'Betray', 'Prisoner 2 Decision': ""I'll choose... Betray."", 'Prisoner 1 Score': 25.0, 'Prisoner 2 Score': 25.0, 'Prisoner 1 LLM Response': 'Betray', 'Prisoner 2 LLM Response': 'Betray', 'Probability of Game Continuing': 0.5}",0,1,2
"{'Round': 2, 'Prisoner 1 ID': 0, 'Prisoner 2 ID': 3, 'Prisoner 1 Decision': 'Betray', 'Prisoner 2 Decision': 'Betray.', 'Prisoner 1 Score': 50.0, 'Prisoner 2 Score': 50.0, 'Prisoner 1 LLM Response': 'Betray', 'Prisoner 2 LLM Response': 'Betray', 'Probability of Game Continuing': 0.5}",0,1,2
"{'Round': 3, 'Prisoner 1 ID': 0, 'Prisoner 2 ID': 3, 'Prisoner 1 Decision': 'Cooperate.', 'Prisoner 2 Decision': 'Betray.', 'Prisoner 1 Score': 62.0, 'Prisoner 2 Score': 100.0, 'Prisoner 1 LLM Response': 'Cooperate', 'Prisoner 2 LLM Response': 'Betray', 'Probability of Game Continuing': 0.5}",0,1,2
"{'Round': 4, 'Prisoner 1 ID': 0, 'Prisoner 2 ID': 3, 'Prisoner 1 Decision': 'Betray.', 'Prisoner 2 Decision': 'Cooperate.', 'Prisoner 1 Score': 112.0, 'Prisoner 2 Score': 112.0, 'Prisoner 1 LLM Response': 'Betray', 'Prisoner 2 LLM Response': 'Cooperate', 'Probability of Game Continuing': 0.5}",0,1,2
"{'Round': 5, 'Prisoner 1 ID': 0, 'Prisoner 2 ID': 3, 'Prisoner 1 Decision': ""I'll analyze the sequences provided to understand my opponent's behavior and make a decision that maximizes my points.\n\nFrom the Supergame Totals, I see that we're tied at 112 points each, which suggests that neither of us has gained an advantage. However, upon closer inspection of our individual choices, I notice a pattern in my opponent's behavior:\n\nIn Round 1, you betrayed (B) when I cooperated (C).\nIn Round 2, you cooperated (C) when I betrayed (B).\nIn Round 3, you betrayed (B) when I cooperated (C).\nIn Round 4, you cooperated (C) when I betrayed (B).\n\nIt seems that your opponent tends to cooperate after I betray and vice versa. Considering this pattern and the fact that there's a 50% chance of continuing the game, I'll choose:\n\nCooperate"", 'Prisoner 2 Decision': 'Betray.', 'Prisoner 1 Score': 137.0, 'Prisoner 2 Score': 137.0, 'Prisoner 1 LLM Response': 'Cooperate', 'Prisoner 2 LLM Response': 'Betray', 'Probability of Game Continuing': 0.5}",0,1,2
"{'Round': 6, 'Prisoner 1 ID': 0, 'Prisoner 2 ID': 3, 'Prisoner 1 Decision': 'I will choose Betray.', 'Prisoner 2 Decision': 'Cooperate', 'Prisoner 1 Score': 187.0, 'Prisoner 2 Score': 149.0, 'Prisoner 1 LLM Response': 'Betray', 'Prisoner 2 LLM Response': 'Cooperate', 'Probability of Game Continuing': 0.5}",0,1,2
"{'Round': 7, 'Prisoner 1 ID': 0, 'Prisoner 2 ID': 3, 'Prisoner 1 Decision': 'Betray.', 'Prisoner 2 Decision': 'Cooperate.', 'Prisoner 1 Score': 237.0, 'Prisoner 2 Score': 161.0, 'Prisoner 1 LLM Response': 'Betray', 'Prisoner 2 LLM Response': 'Cooperate', 'Probability of Game Continuing': 0.5}",0,1,2
"{'Round': 8, 'Prisoner 1 ID': 0, 'Prisoner 2 ID': 3, 'Prisoner 1 Decision': 'Betray.', 'Prisoner 2 Decision': 'Cooperate.', 'Prisoner 1 Score': 287.0, 'Prisoner 2 Score': 173.0, 'Prisoner 1 LLM Response': 'Betray', 'Prisoner 2 LLM Response': 'Cooperate', 'Probability of Game Continuing': 0.5}",0,1,2
"{'Round': 9, 'Prisoner 1 ID': 0, 'Prisoner 2 ID': 3, 'Prisoner 1 Decision': 'Cooperate.', 'Prisoner 2 Decision': 'Cooperate.', 'Prisoner 1 Score': 319.0, 'Prisoner 2 Score': 205.0, 'Prisoner 1 LLM Response': 'Cooperate', 'Prisoner 2 LLM Response': 'Cooperate', 'Probability of Game Continuing': 0.5}",0,1,2
"{'Round': 10, 'Prisoner 1 ID': 0, 'Prisoner 2 ID': 3, 'Prisoner 1 Decision': 'Cooperate.', 'Prisoner 2 Decision': 'Betray.', 'Prisoner 1 Score': 331.0, 'Prisoner 2 Score': 255.0, 'Prisoner 1 LLM Response': 'Cooperate', 'Prisoner 2 LLM Response': 'Betray', 'Probability of Game Continuing': 0.5}",0,1,2
"{'Round': 1, 'Prisoner 1 ID': 15, 'Prisoner 2 ID': 6, 'Prisoner 1 Decision': 'Betray.', 'Prisoner 2 Decision': 'Betray', 'Prisoner 1 Score': 25.0, 'Prisoner 2 Score': 25.0, 'Prisoner 1 LLM Response': 'Betray', 'Prisoner 2 LLM Response': 'Betray', 'Probability of Game Continuing': 0.5}",0,1,3
"{'Round': 2, 'Prisoner 1 ID': 15, 'Prisoner 2 ID': 6, 'Prisoner 1 Decision': 'Betray.', 'Prisoner 2 Decision': 'I will choose... Betray.', 'Prisoner 1 Score': 50.0, 'Prisoner 2 Score': 50.0, 'Prisoner 1 LLM Response': 'Betray', 'Prisoner 2 LLM Response': 'Betray', 'Probability of Game Continuing': 0.5}",0,1,3
